jao_substation,matched_osm_name,osm_id,latitude,longitude
CHANCENAY,Poste électrique de Chancenay,259142886,48.6768504,4.9985558
CHARPENAY,Poste électrique de Charpenay,84452130,45.8188875,4.6900408
CHATEAU-GOMBERT,Poste électrique de Château-Gombert,530490670,43.337761,5.4316483
CHAVANOD,Poste électrique de Chavanod,183182430,45.8943224,6.0811781
CHEVILLY,Poste électrique de Chevilly,44448089,48.7739107,2.3652655
CHOLET,Poste électrique de Cholet,57941014,47.0588001,-0.902215
CHOOZ,Poste électrique de Chooz,118655802,50.0875755,4.795599
CIROLLIERS,Poste électrique de Cirolliers,24849819,48.5514371,2.3201956
CISSAC,Poste électrique de Cissac,188915706,45.2181963,-0.843547
CIZE,Poste électrique de Cize,122748502,46.2048689,5.4626339
CLEON,Poste électrique de Cléon,147580956,49.316399,1.0401708
CLERAC,Sous Station SNCF de Clérac,443975666,45.1779425,-0.2506611
COLAYRAC,Poste électrique de Colayrac,142571672,44.2277661,0.5636557
COMMERVEIL,Poste électrique de Commerveil,146449311,48.3167304,0.3760073
COMPIEGNE,Poste électrique de Compiègne,118216358,49.4349454,2.8408729
CONFLUENT,Poste électrique du Confluent,107121899,45.1969721,5.7029517
CONTAMINE,Contamines,69003834,46.3555705,6.4181095
COQUAINVILLIERS,Poste électrique de Coquainvilliers,85955250,49.2112307,0.1956487
CORNIER,Poste électrique de Cornier,100500802,46.0848053,6.2951248
COSSIGNY,Poste électrique de Cossigny,101086962,48.728702,2.678845
COUCHEY,Poste électrique de Couchey,122104435,47.2547738,4.9999849
COULANGE,Poste électrique de Coulange,84490483,44.6323905,4.7233264
COURTRY,Poste électrique de Courtry,26813222,48.5481656,2.7738107
CRENEY,Poste électrique de Creney-prés-Troyes 400kV,120707003,48.3470887,4.1377539
CRETAINE,Poste électrique de Crétaine,682366052,48.7992713,2.3584872
CREYS,Poste électrique de Creys-Malville,84153220,45.7561541,5.4664968
CROIX-DE-METZ,Poste électrique de Croix-de-Metz,120861987,48.6921113,5.9161393
CUBNEZAIS,Poste électrique de Cubnezais,235370803,45.0688176,-0.4356296
DAMBRON,Poste électrique de Dambron,86260748,48.1067677,1.8558404
DAMERY,Poste électrique de Damery,147394008,49.075801,3.8711359
DANTOU,Poste électrique de Dantou,128524174,44.4615736,0.8305834
DARSE,Aprilia Darsena,36440160,45.694064,13.0711001
DECHY,Poste électrique de Dechy,129440971,50.3625232,3.1389634
DISTRE,Poste électrique de Distré,99722046,47.2079194,-0.1144715
DONZAC,Poste Électrique de Donzac,105913465,44.1025367,0.822659
DONZENAC,Poste électrique de Donzenac,138787590,45.2146551,1.5225722
DUVIGNEAU,Poste électrique de Duvigneau,648250788,51.0159655,2.1569841
ECHALAS,Poste électrique d'Échalas,84476231,45.542847,4.7192558
ECHINGHEN,Poste électrique d’Echinghen,147580965,50.6967087,1.6397066
EGUZON,Poste Électrique d'Éguzon,105783300,46.4580821,1.6206602
