NE_name,EIC_Code,TSO,Substation_1,Substation_2,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment,Substation_1_lat,Substation_1_lon,Substation_1_id,Substation_2_lat,Substation_2_lon,Substation_2_id
Hamburg/Ost - Krümmel 992,11TD8L992------H,50HERTZ,Hamburg/Ost,Krümmel,380,,,,,,,3600, ,,0.59,6.78,141.717,28.39,,53.5553753,10.1594788,23583867.0,53.4121613,10.418303,943441483.0
Hamburg/Süd - Hamburg/Ost 971,11TD8L971------6,50HERTZ,Hamburg/Süd,Hamburg/Ost,380,,,,,,,2580, ,,0.99,7.44,131.978,29.43,,53.4880407,9.9089299,11285720.0,53.5553753,10.1594788,23583867.0
Hamburg/Süd - Hamburg/Ost 972,11TD8L972------Z,50HERTZ,Hamburg/Süd,Hamburg/Ost,380,,,,,,,2580, ,,0.99,7.44,131.978,29.43,,53.4880407,9.9089299,11285720.0,53.5553753,10.1594788,23583867.0
Heinersdorf - Neuenhagen 444,11T0000000000015,50HERTZ,Heinersdorf,Neuenhagen,380,,,,,,,2280, ,,1.54,10.45,185.071,41.71,,52.5629929,13.4434159,47493333.0,52.5391386,13.7097134,137197826.0
Hennigsdorf - Wustermark 295,11TD8L295------Q,50HERTZ,Hennigsdorf,Wustermark,220,,,,,,,1070, ,,0.55,6.85,129.119,27.4,,52.6418481,13.2136946,27883686.0,52.5621636,12.9429472,27149550.0
Jessen/Nord - Lauchstädt 499,11TD8L499------B,50HERTZ,Jessen/Nord,Lauchstädt,380,,,,,,,2040, ,,3.34,25.42,464.579,102.16,,,,,51.4063614,11.8947029,29713902.0
Jessen/Nord - Marke 500,11TD8L500------6,50HERTZ,Jessen/Nord,Marke,380,,,,,,,2040, ,,3.45,26.89,490.591,107.37,,,,,51.741528,12.2629207,25526912.0
Klostermansfeld - Lauchstädt 538,11TD8L538------Q,50HERTZ,Klostermansfeld,Lauchstädt,380,,,,,,,2500, ,,1.38,10.08,169.615,38.77,,51.5839908,11.5169356,32690742.0,51.4063614,11.8947029,29713902.0
Krümmel - Görries 419,11TD8L419------9,50HERTZ,Krümmel,Görries,380,,,,,,,2700, ,,2.21,22.41,389.086,87.47,,53.4121613,10.418303,943441483.0,53.6007115,11.3706157,30040568.0
Krümmel - Wessin 420,11TD8L420------Z,50HERTZ,Krümmel,Wessin,380,,,,,,,2700, ,,2.96,28.52,495.712,111.42,,53.4121613,10.418303,943441483.0,53.5720743,11.6985995,234171369.0
Lauchstädt - Vieselbach 471,11TD8L471------J,50HERTZ,Lauchstädt,Vieselbach,380,,,,,,,3600, ,,1.43,19.66,358.456,78.07,,51.4063614,11.8947029,29713902.0,50.9992218,11.1197853,34105558.0
Lauchstädt - Vieselbach 472,11TD8L472------B,50HERTZ,Lauchstädt,Vieselbach,380,,,,,,,3600, ,,1.43,19.66,361.597,78.07,,51.4063614,11.8947029,29713902.0,50.9992218,11.1197853,34105558.0
Lauchstädt - Wolmirstedt 535,11TD8L535------D,50HERTZ,Lauchstädt,Wolmirstedt,380,,,,,,,2520, ,,5.43,40.69,676.699,155.36,,51.4063614,11.8947029,29713902.0,52.2689842,11.6386899,26472665.0
Lubmin - Altentreptow/Nord 475,11TD8L475------O,50HERTZ,Lubmin,Altentreptow/Nord,380,,,,,,,2520, ,,1.42,13.75,219.566,52.12,,54.1394839,13.666073,177914437.0,,,
Lubmin - Altentreptow/Süd 476,11T0-0000-0007-7,50HERTZ,Lubmin,Altentreptow/Süd,380,,,,,,,2520, ,,1.62,17.83,290.283,68.8,,54.1394839,13.666073,177914437.0,,,
Lubmin - Lüdershagen 313,11TD8L313------U,50HERTZ,Lubmin,Lüdershagen,220,,,,,,,1200, ,,2.82,16.33,214.382,56.21,,54.1394839,13.666073,177914437.0,54.2856034,13.0779783,29389718.0
Lubmin - Lüdershagen 314,11TD8L314------M,50HERTZ,Lubmin,Lüdershagen,220,,,,,,,1200, ,,2.82,16.33,214.382,56.21,,54.1394839,13.666073,177914437.0,54.2856034,13.0779783,29389718.0
Lubmin - Siedenbrünzow 509,11TD8L509------8,50HERTZ,Lubmin,Siedenbrünzow,380,,,,,,,2520, ,,1.59,14.44,243.128,56.21,,54.1394839,13.666073,177914437.0,53.9089372,13.1432379,369680693.0
Lubmin - Siedenbrünzow 510,11TD8L510------Y,50HERTZ,Lubmin,Siedenbrünzow,380,,,,,,,2520, ,,1.59,14.44,243.128,56.21,,54.1394839,13.666073,177914437.0,53.9089372,13.1432379,369680693.0
